epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3398.35,0.75154,0.4649,0.0078,0.83845,0.76106,0.87616,0.69943,0.81199,0.57079,0.01168,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3503.2,0.74361,0.46121,0.00774,0.76033,0.82451,0.86705,0.68916,0.81154,0.60012,0.01167,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3608.2,0.73349,0.44879,0.00769,0.75025,0.8632,0.87177,0.69233,0.81522,0.59327,0.01176,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3713.18,0.7253,0.44419,0.00759,0.78391,0.83249,0.88914,0.70994,0.81306,0.56109,0.01171,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3818.67,0.72702,0.44672,0.00759,0.81891,0.78663,0.87838,0.69756,0.80731,0.56867,0.01162,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3923.93,0.71342,0.43144,0.00743,0.80931,0.82627,0.8882,0.70931,0.80473,0.54972,0.01153,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4029.23,0.70843,0.42521,0.00738,0.81408,0.80279,0.88564,0.70739,0.80972,0.584,0.01163,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4134.98,0.70835,0.42402,0.00737,0.77456,0.84276,0.87738,0.69644,0.81055,0.59074,0.0116,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4240.37,0.703,0.41514,0.00716,0.8116,0.81477,0.87778,0.70132,0.80527,0.60256,0.01155,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4345.86,0.7057,0.41193,0.00729,0.77797,0.83425,0.87963,0.70426,0.80278,0.57393,0.0115,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4451.15,0.68412,0.40098,0.00722,0.75498,0.84813,0.8744,0.69748,0.80646,0.59519,0.01151,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4556.78,0.69779,0.40323,0.00712,0.77589,0.80904,0.86307,0.69095,0.79446,0.64403,0.01135,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4662.59,0.68822,0.38843,0.00706,0.81163,0.82047,0.8769,0.70312,0.80185,0.59218,0.01155,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4767.83,0.67721,0.40336,0.00706,0.82488,0.81537,0.88379,0.71234,0.80246,0.58176,0.01155,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
